Severity,MCG,Region,Source,Year,Host,Isolate,5-2(F),5-3(F),6-2(F),7-2(F),8-3(H),9-2(F),12-2(H),17-3(H),20-3(F),36-4(F),50-4(F),55-4(F),92-4(F),106-4(H),110-4(H),114-4(H)
4.8,18,ND,stc,2010,unk,811,320,308,483,170,244,360,222,354,280,415,532,165,375,567,386,367
4.6,18,ND,nec,2010,unk,812,322,328,483,170,252,360,222,354,280,415,532,173,375,567,386,371
4.3,5,MI,tuc,2008,Vista,813,320,330,495,170,244,360,216,354,280,415,532,188,374,573,374,339
5.3,3,MI,tuc,2008,Vista,814,320,330,495,172,244,360,216,354,280,415,532,188,375,573,374,339
4.8,17,MI,tuc,2008,Vista,815,320,330,495,170,244,360,216,354,280,415,532,188,375,577,374,339
5.3,17,MI,tuc,2008,Vista,816,320,339,489,170,252,360,216,348,280,415,532,173,375,571,386,367
4.2,20,MI,hur,2008,BL,817,320,330,495,172,244,360,216,354,280,415,532,188,376,577,374,339
6.1,3,MI,hur,2008,Vista,818,320,330,495,170,244,360,216,363,280,417,532,216,376,597,374,339
5.6,5,MI,hur,2008,Vista,819,320,330,495,170,244,360,216,354,280,415,532,173,375,573,374,339
4.9,44,MI,sanc,2008,Merlot,824,320,328,489,172,252,360,216,348,280,415,532,188,374,571,386,371
5.1,6,MI,sanc,2008,Merlot,825,320,308,483,170,250,364,216,348,280,415,532,177,375,564,378,367
6,44,MI,sanc,2008,Merlot,826,320,296,489,170,252,362,222,348,280,415,532,173,378,610,378,371
5.4,1,NE,wmn,2008,unk,827,322,308,483,160,250,360,222,348,280,415,532,173,379,567,378,367
4.2,9,NE,wmn,2008,unk,828,322,308,483,170,248,360,222,348,280,415,532,173,380,567,378,367
4.7,9,NE,wmn,2008,unk,829,320,308,489,170,248,360,222,342,280,415,531,173,376,576,378,367
4,9,NE,wmn,2008,unk,830,320,308,489,160,254,360,222,351,280,415,532,173,378,546,382,375
3.8,9,NE,wmn,2008,unk,831,320,330,495,172,244,360,216,354,280,415,532,188,376,577,374,339
5,9,NE,wmn,2008,unk,832,320,308,489,170,252,364,222,348,280,415,532,173,376,571,378,371
5.3,44,NE,wmn,2008,unk,833,320,308,489,172,252,364,222,348,280,415,532,173,375,571,378,371
4.3,1,NE,wmn,2008,unk,835,320,328,489,160,252,360,216,348,280,415,532,173,376,571,386,371
4.9,1,NE,wmn,2008,unk,836,322,308,483,172,250,360,222,348,280,415,532,173,380,567,378,367
5.4,1,NE,wmn,2008,unk,837,320,328,489,160,252,360,216,348,280,415,532,173,376,571,386,371
4.4,1,NE,sbf,2009,Pinto,838,320,328,489,170,252,360,216,348,280,415,532,173,375,571,386,371
3.8,5,MI,wmn,2009,Beryl,839,320,328,489,170,252,360,216,348,280,415,532,173,375,571,386,371
4.8,17,MI,wmn,2009,G122,840,320,328,489,172,252,360,216,348,280,415,532,173,378,580,378,371
2.8,9,MI,wmn,2009,Bunsi,841,320,318,495,160,244,360,216,357,280,417,532,212,376,532,374,339
5.1,20,MI,wmn,2009,Bunsi,842,320,320,489,170,254,360,218,348,280,415,532,157,375,552,370,359
3.4,20,MI,wmn,2009,Bunsi,843,320,320,489,170,254,360,218,348,280,415,532,157,375,552,370,359
4.3,86,MI,wmn,2009,Bunsi,844,320,318,495,160,244,360,216,357,280,417,532,169,376,532,374,339
4.8,5,MI,wmn,2009,G122,845,320,320,489,170,244,360,218,348,280,415,532,157,375,552,370,359
4.7,5,MI,wmn,2009,G122,846,320,320,489,170,254,360,218,348,280,415,532,157,376,552,370,359
4.7,9,MI,wmn,2009,G122,847,320,318,495,160,244,360,216,357,280,417,532,212,376,532,374,339
3.8,5,MI,wmn,2009,Beryl,848,320,328,489,172,252,360,216,348,280,415,532,173,376,571,386,371
4.7,5,MI,wmn,2009,Beryl,849,320,320,489,170,254,360,218,348,280,415,532,157,376,552,370,359
4.6,5,MI,wmn,2009,Beryl,850,320,328,489,172,252,360,216,348,280,415,532,173,375,571,386,371
